Borough name,Ward Code,Ward name,,,happiness_coefficient_year_minus_3,happiness_coefficient_year_minus_2,happiness_coefficient_year_minus_1,happiness_coefficient_now,happiness_coefficient_2012
Croydon,E05000166,Upper Norwood,,,-4,-4,-4,-3,-5
Croydon,E05000167,Waddon,,,-3,-3,-3,-4,-4
Croydon,E05000168,West Thornton,,,-5,-5,-5,-6,-6
Croydon,E05000169,Woodside,,,-5,-3,-4,-2,-5
Ealing,E05000170,Acton Central,,,1,0,-1,-1,0
Ealing,E05000171,Cleveland,,,5,4,3,3,4
Ealing,E05000172,Dormers Wells,,,-2,-2,-2,-2,0
Ealing,E05000173,Ealing Broadway,,,4,5,4,6,5
Ealing,E05000174,Ealing Common,,,3,3,2,2,2
Ealing,E05000175,East Acton,,,-1,-1,-2,-3,-1
Ealing,E05000176,Elthorne,,,1,0,0,0,1
Ealing,E05000177,Greenford Broadway,,,-5,-4,-5,-5,-3
Ealing,E05000178,Greenford Green,,,3,3,3,3,4
Ealing,E05000179,Hanger Hill,,,5,6,5,5,6
Ealing,E05000180,Hobbayne,,,3,2,2,1,2
Ealing,E05000181,Lady Margaret,,,3,2,2,2,3
Ealing,E05000182,Northfield,,,9,8,9,8,11
Ealing,E05000183,North Greenford,,,2,2,1,2,4
Ealing,E05000184,Northolt Mandeville,,,-1,0,-1,-2,-1
Ealing,E05000185,Northolt West End,,,-5,-5,-6,-4,-3
Ealing,E05000186,Norwood Green,,,-3,-4,-3,-3,-4
Ealing,E05000187,Perivale,,,2,1,1,0,2
Ealing,E05000188,South Acton,,,-2,-2,-2,-3,-1
Ealing,E05000189,Southall Broadway,,,-2,-3,-4,-5,-4
Ealing,E05000190,Southall Green,,,-2,-4,-3,-2,-4
Ealing,E05000191,Southfield,,,4,4,3,4,5
Ealing,E05000192,Walpole,,,7,7,7,7,7
Enfield,E05000193,Bowes,,,-3,-3,-3,-4,-2
Enfield,E05000194,Bush Hill Park,,,4,3,3,3,1
Enfield,E05000195,Chase,,,-3,-3,-4,-4,-5
Enfield,E05000196,Cockfosters,,,5,5,4,4,4
Enfield,E05000197,Edmonton Green,,,-9,-10,-10,-13,-14
Enfield,E05000198,Enfield Highway,,,-5,-6,-7,-8,-8
Enfield,E05000199,Enfield Lock,,,-7,-8,-8,-11,-11
Enfield,E05000200,Grange,,,5,5,4,6,4
Enfield,E05000201,Haselbury,,,-5,-5,-7,-8,-9
Enfield,E05000202,Highlands,,,6,7,5,4,2
Enfield,E05000203,Jubilee,,,-4,-5,-5,-6,-6
Enfield,E05000204,Lower Edmonton,,,-7,-8,-9,-8,-10
Enfield,E05000205,Palmers Green,,,0,-1,-1,-1,-2
Enfield,E05000206,Ponders End,,,-6,-7,-8,-9,-8
Enfield,E05000207,Southbury,,,-3,-5,-5,-5,-7
Enfield,E05000208,Southgate,,,5,4,4,4,3
Enfield,E05000209,Southgate Green,,,3,2,1,2,2
Enfield,E05000210,Town,,,5,4,3,4,2
Enfield,E05000211,Turkey Street,,,-8,-9,-10,-11,-12
Enfield,E05000212,Upper Edmonton,,,-7,-8,-9,-10,-13
Enfield,E05000213,Winchmore Hill,,,6,4,5,4,3
Greenwich,E05000214,Abbey Wood,,,-7,-6,-7,-5,-5
Greenwich,E05000215,Blackheath Westcombe,,,1,2,0,2,1
Greenwich,E05000216,Charlton,,,-4,-5,-5,-5,-5
Greenwich,E05000217,Coldharbour and New Eltham,,,0,1,0,0,0
Greenwich,E05000218,Eltham North,,,5,6,5,5,6
Greenwich,E05000219,Eltham South,,,0,1,0,0,0
Greenwich,E05000220,Eltham West,,,-7,-8,-7,-6,-4
Greenwich,E05000221,Glyndon,,,-6,-8,-9,-7,-8
Greenwich,E05000222,Greenwich West,,,0,0,-1,-1,-1
Greenwich,E05000223,Kidbrooke with Hornfair,,,-7,-7,-7,-7,-5
Greenwich,E05000224,Middle Park and Sutcliffe,,,-8,-7,-6,-8,-7
Greenwich,E05000225,Peninsula,,,-2,-2,-3,-1,1
Greenwich,E05000226,Plumstead,,,-6,-8,-7,-6,-7
Greenwich,E05000227,Shooters Hill,,,-1,0,0,2,0
Greenwich,E05000228,Thamesmead Moorings,,,-8,-7,-8,-7,-5
Greenwich,E05000229,Woolwich Common,,,-10,-9,-8,-7,-5
Greenwich,E05000230,Woolwich Riverside,,,-10,-10,-11,-7,-7
Hackney,E05000231,Brownswood,,,-3,-3,-5,-5,-5
Hackney,E05000232,Cazenove,,,0,-1,-2,-1,0
Hackney,E05000233,Chatham,,,-9,-8,-9,-10,-6
Hackney,E05000234,Clissold,,,-2,-1,-2,-1,0
Hackney,E05000235,Dalston,,,-8,-6,-7,-8,-9
Hackney,E05000236,De Beauvoir,,,-6,-4,-6,-6,-9
Hackney,E05000237,Hackney Central,,,-8,-6,-6,-5,-6
Hackney,E05000238,Hackney Downs,,,-6,-6,-6,-7,-6
Hackney,E05000239,Haggerston,,,-7,-6,-8,-8,-6
Hackney,E05000240,Hoxton,,,-6,-5,-7,-4,-6
Hackney,E05000241,King's Park,,,-6,-5,-6,-7,-6
Hackney,E05000242,Leabridge,,,-5,-7,-8,-7,-7
Hackney,E05000243,Lordship,,,-2,-1,-3,-4,-3
Hackney,E05000244,New River,,,-3,-2,-4,-3,-2
Hackney,E05000245,Queensbridge,,,-10,-9,-9,-9,-7
Hackney,E05000246,Springfield,,,-3,-3,-4,-5,-9
Hackney,E05000247,Stoke Newington Central,,,-5,-3,-4,-3,-2
Hackney,E05000248,Victoria,,,-5,-4,-6,-7,-9
Hackney,E05000249,Wick,,,-9,-9,-9,-9,-11
Hammersmith and Fulham,E05000250,Addison,,,0,0,-1,-1,0
Hammersmith and Fulham,E05000251,Askew,,,-3,-2,-2,-4,-4
Hammersmith and Fulham,E05000252,Avonmore and Brook Green,,,3,4,3,2,4
Hammersmith and Fulham,E05000253,College Park and Old Oak,,,-4,-4,-6,-6,-3
Hammersmith and Fulham,E05000254,Fulham Broadway,,,-5,-4,-4,-2,0
Hammersmith and Fulham,E05000255,Fulham Reach,,,-1,0,0,0,1
Hammersmith and Fulham,E05000256,Hammersmith Broadway,,,-3,-4,-4,-3,-3
Hammersmith and Fulham,E05000257,Munster,,,1,1,1,2,3
Hammersmith and Fulham,E05000258,North End,,,-1,-2,-3,-3,0
Hammersmith and Fulham,E05000259,Palace Riverside,,,11,13,10,10,10
Hammersmith and Fulham,E05000260,Parsons Green and Walham,,,4,2,2,3,3
Hammersmith and Fulham,E05000261,Ravenscourt Park,,,-1,-1,-2,0,1
Hammersmith and Fulham,E05000262,Sands End,,,0,1,0,1,1
Hammersmith and Fulham,E05000263,Shepherd's Bush Green,,,-1,-3,-3,-3,-2
Hammersmith and Fulham,E05000264,Town,,,1,1,1,3,0
Hammersmith and Fulham,E05000265,Wormholt and White City,,,-4,-4,-6,-7,-6
Haringey,E05000266,Alexandra,,,5,5,4,6,8
Haringey,E05000267,Bounds Green,,,-4,-4,-4,-5,-3
Haringey,E05000268,Bruce Grove,,,-9,-8,-10,-11,-10
Haringey,E05000269,Crouch End,,,3,3,5,7,7
Haringey,E05000270,Fortis Green,,,4,5,3,5,6
Haringey,E05000271,Harringay,,,-4,-3,-3,-2,-4
Haringey,E05000272,Highgate,,,3,5,3,5,4
Haringey,E05000273,Hornsey,,,-5,-6,-5,-3,-3
Haringey,E05000274,Muswell Hill,,,3,3,6,8,8
Haringey,E05000275,Noel Park,,,-12,-12,-12,-12,-11
Haringey,E05000276,Northumberland Park,,,-11,-11,-12,-12,-13
Haringey,E05000277,St Ann's,,,-5,-6,-5,-5,-5
Haringey,E05000278,Seven Sisters,,,-4,-3,-3,-3,-4
Haringey,E05000279,Stroud Green,,,1,0,0,0,0
Haringey,E05000280,Tottenham Green,,,-8,-8,-11,-9,-10
Haringey,E05000281,Tottenham Hale,,,-6,-8,-10,-7,-8
Haringey,E05000282,West Green,,,-6,-5,-8,-7,-6
Haringey,E05000283,White Hart Lane,,,-11,-12,-12,-11,-12
Haringey,E05000284,Woodside,,,-4,-3,-3,-2,-4
Harrow,E05000285,Belmont,,,4,3,5,3,5
Harrow,E05000286,Canons,,,6,6,6,6,5
Harrow,E05000287,Edgware,,,0,0,1,1,2
Harrow,E05000288,Greenhill,,,0,0,1,0,-3
Harrow,E05000289,Harrow on the Hill,,,4,4,4,4,2
Harrow,E05000290,Harrow Weald,,,0,2,0,0,-1
Harrow,E05000291,Hatch End,,,5,6,5,5,2
Harrow,E05000292,Headstone North,,,7,6,7,8,6
Harrow,E05000293,Headstone South,,,6,6,6,5,3
Harrow,E05000294,Kenton East,,,2,3,3,2,2
Harrow,E05000295,Kenton West,,,6,6,5,4,3
Harrow,E05000296,Marlborough,,,-1,1,1,0,-1
Harrow,E05000297,Pinner,,,2,1,2,2,1
Harrow,E05000298,Pinner South,,,9,9,8,10,9
Harrow,E05000299,Queensbury,,,3,3,2,3,3
Harrow,E05000300,Rayners Lane,,,6,6,7,6,5
Harrow,E05000301,Roxbourne,,,-2,-1,0,-1,-2
Harrow,E05000302,Roxeth,,,2,2,2,1,1
Harrow,E05000303,Stanmore Park,,,2,1,0,2,1
Harrow,E05000304,Wealdstone,,,-4,-4,-5,-5,-4
Harrow,E05000305,West Harrow,,,4,4,3,4,3
Havering,E05000306,Brooklands,,,-2,-1,-2,-3,-2
Havering,E05000307,Cranham,,,9,9,9,9,8
Havering,E05000308,Elm Park,,,2,1,1,0,1
Havering,E05000309,Emerson Park,,,8,8,7,7,5
Havering,E05000310,Gooshays,,,-9,-8,-10,-11,-11
Havering,E05000311,Hacton,,,6,6,7,6,5
Havering,E05000312,Harold Wood,,,2,2,1,2,1
Havering,E05000313,Havering Park,,,0,0,-1,-1,-4
Havering,E05000314,Heaton,,,-8,-8,-9,-10,-11
Havering,E05000315,Hylands,,,4,5,4,3,4
Havering,E05000316,Mawneys,,,2,2,1,1,1
Havering,E05000317,Pettits,,,6,5,4,5,5
Havering,E05000318,Rainham and Wennington,,,-1,-3,-2,-3,-3
Havering,E05000319,Romford Town,,,-3,-2,-2,-2,-1
Havering,E05000320,St Andrew's,,,3,3,3,2,3
Havering,E05000321,South Hornchurch,,,-1,-3,-3,-3,-3
Havering,E05000322,Squirrel's Heath,,,4,4,3,3,2
Havering,E05000323,Upminster,,,8,8,7,7,7
Hillingdon,E05000324,Barnhill,,,-6,-6,-6,-5,-5
Hillingdon,E05000325,Botwell,,,-7,-5,-7,-5,-8
Hillingdon,E05000326,Brunel,,,-1,-1,-2,0,-2
Hillingdon,E05000327,Cavendish,,,4,5,6,5,6
Hillingdon,E05000328,Charville,,,-1,0,1,2,0
Hillingdon,E05000329,Eastcote and East Ruislip,,,10,9,9,10,9
Hillingdon,E05000330,Harefield,,,0,-1,-1,-3,-4
Hillingdon,E05000331,Heathrow Villages,,,-2,-2,-2,-2,-3
Hillingdon,E05000332,Hillingdon East,,,1,1,2,2,1
Hillingdon,E05000333,Ickenham,,,9,8,10,9,9
Hillingdon,E05000334,Manor,,,6,7,7,6,7
Hillingdon,E05000335,Northwood,,,7,8,9,7,7
Hillingdon,E05000336,Northwood Hills,,,4,3,4,4,5
Hillingdon,E05000337,Pinkwell,,,-4,-5,-4,-2,-2
Hillingdon,E05000338,South Ruislip,,,5,5,4,4,4
Hillingdon,E05000339,Townfield,,,-6,-6,-5,-6,-8
Hillingdon,E05000340,Uxbridge North,,,2,2,3,2,2
Hillingdon,E05000341,Uxbridge South,,,-2,-2,0,-1,-1
Hillingdon,E05000342,West Drayton,,,-6,-6,-7,-7,-10
Hillingdon,E05000343,West Ruislip,,,5,5,4,3,6
Hillingdon,E05000344,Yeading,,,-5,-5,-5,-3,-5
Hillingdon,E05000345,Yiewsley,,,-5,-4,-6,-5,-7
Hounslow,E05000346,Bedfont,,,-7,-7,-5,-3,-6
Hounslow,E05000347,Brentford,,,1,1,0,1,0
Hounslow,E05000348,Chiswick Homefields,,,7,7,7,7,7
Hounslow,E05000349,Chiswick Riverside,,,3,4,4,2,6
Hounslow,E05000350,Cranford,,,-5,-5,-5,-5,-4
Hounslow,E05000351,Feltham North,,,-3,-3,-4,-2,-3
Hounslow,E05000352,Feltham West,,,-6,-8,-6,-5,-5
Hounslow,E05000353,Hanworth,,,-7,-4,-3,-4,-6
Hounslow,E05000354,Hanworth Park,,,-7,-4,-2,-3,-3
Hounslow,E05000355,Heston Central,,,-2,-2,-1,-2,-3
Hounslow,E05000356,Heston East,,,2,2,0,0,1
Hounslow,E05000357,Heston West,,,-5,-6,-6,-5,-4
Hounslow,E05000358,Hounslow Central,,,1,1,-1,1,1
Hounslow,E05000359,Hounslow Heath,,,-2,-2,-2,0,-1
Hounslow,E05000360,Hounslow South,,,4,4,3,4,4
Hounslow,E05000361,Hounslow West,,,-4,-4,-4,-5,-3
Hounslow,E05000362,Isleworth,,,-3,-5,-3,0,-2
Hounslow,E05000363,Osterley and Spring Grove,,,7,7,6,5,6
Hounslow,E05000364,Syon,,,0,-1,1,1,0
Hounslow,E05000365,Turnham Green,,,5,5,5,4,7
Islington,E05000366,Barnsbury,,,-4,-5,-6,-6,-5
Islington,E05000367,Bunhill,,,-6,-5,-6,-5,-4
Islington,E05000368,Caledonian,,,-6,-6,-4,-5,-7
Islington,E05000369,Canonbury,,,-6,-6,-8,-5,-5
Islington,E05000370,Clerkenwell,,,-2,-4,-3,-4,-2
Islington,E05000371,Finsbury Park,,,-9,-9,-10,-10,-7
Islington,E05000372,Highbury East,,,1,2,0,1,2
Islington,E05000373,Highbury West,,,1,0,0,1,2
Islington,E05000374,Hillrise,,,-4,-5,-5,-4,-5
Islington,E05000375,Holloway,,,-4,-3,-4,-5,-5
Islington,E05000376,Junction,,,-4,-4,-4,-3,-3
Islington,E05000377,Mildmay,,,-8,-6,-6,-7,-4
Islington,E05000378,St George's,,,-5,-6,-5,-5,-4
Islington,E05000379,St Mary's,,,-3,-4,-4,-4,-3
Islington,E05000380,St Peter's,,,-8,-7,-7,-9,-7
Islington,E05000381,Tollington,,,-6,-5,-6,-5,-5
Kensington and Chelsea,E05000382,Abingdon,,,9,9,8,8,9
Kensington and Chelsea,E05000383,Brompton,,,9,11,10,7,11
Kensington and Chelsea,E05000384,Campden,,,13,11,12,12,14
Kensington and Chelsea,E05000385,Colville,,,-1,0,-3,-3,-2
Kensington and Chelsea,E05000386,Courtfield,,,8,13,8,11,11
Kensington and Chelsea,E05000387,Cremorne,,,2,2,1,1,2
Kensington and Chelsea,E05000388,Earl's Court,,,6,4,3,4,4
Kensington and Chelsea,E05000389,Golborne,,,-4,-5,-7,-6,-5
Kensington and Chelsea,E05000390,Hans Town,,,8,8,6,9,8
Kensington and Chelsea,E05000391,Holland,,,9,9,9,11,11
Kensington and Chelsea,E05000392,Norland,,,5,5,4,4,3
Kensington and Chelsea,E05000393,Notting Barns,,,-1,-1,-1,-3,-2
Kensington and Chelsea,E05000394,Pembridge,,,3,8,8,8,10
Kensington and Chelsea,E05000395,Queen's Gate,,,13,12,6,12,11
Kensington and Chelsea,E05000396,Redcliffe,,,7,10,10,10,8
Kensington and Chelsea,E05000397,Royal Hospital,,,7,6,5,5,6
Kensington and Chelsea,E05000398,St Charles,,,-4,-3,-6,-5,-6
Kensington and Chelsea,E05000399,Stanley,,,5,8,6,8,7
Kingston upon Thames,E05000400,Alexandra,,,6,6,6,6,7
Kingston upon Thames,E05000401,Berrylands,,,6,5,6,8,6
Kingston upon Thames,E05000402,Beverley,,,4,5,4,5,4
Kingston upon Thames,E05000403,Canbury,,,8,7,8,10,8
Kingston upon Thames,E05000404,Chessington North and Hook,,,2,3,3,2,2
Kingston upon Thames,E05000405,Chessington South,,,6,8,6,5,4
Kingston upon Thames,E05000406,Coombe Hill,,,7,8,8,9,6
Kingston upon Thames,E05000407,Coombe Vale,,,9,9,9,9,8
Kingston upon Thames,E05000408,Grove,,,4,4,3,3,2
Kingston upon Thames,E05000409,Norbiton,,,-2,-2,-1,-1,-3
Kingston upon Thames,E05000410,Old Malden,,,7,6,6,6,6
Kingston upon Thames,E05000411,St James,,,5,6,5,6,5
Kingston upon Thames,E05000412,St Mark's,,,9,8,8,7,8
Kingston upon Thames,E05000413,Surbiton Hill,,,5,3,4,5,6
Kingston upon Thames,E05000414,Tolworth and Hook Rise,,,3,2,4,2,3
Kingston upon Thames,E05000415,Tudor,,,10,10,10,10,10
Lambeth,E05000416,Bishop's,,,-1,-2,-1,-2,2
Lambeth,E05000417,Brixton Hill,,,-3,-3,-4,-4,-3
Lambeth,E05000418,Clapham Common,,,0,1,0,-1,-2
Lambeth,E05000419,Clapham Town,,,-3,-5,-6,-6,-5
Lambeth,E05000420,Coldharbour,,,-10,-10,-10,-10,-10
Lambeth,E05000421,Ferndale,,,-6,-5,-7,-7,-7
Lambeth,E05000422,Gipsy Hill,,,-5,-4,-6,-6,-5
Lambeth,E05000423,Herne Hill,,,-2,-2,-3,-2,-1
Lambeth,E05000424,Knight's Hill,,,-5,-6,-5,-5,-3
Lambeth,E05000425,Larkhall,,,-4,-5,-5,-5,-5
Lambeth,E05000426,Oval,,,-1,-2,-2,-2,-1
Lambeth,E05000427,Prince's,,,-5,-4,-4,-4,-3
Lambeth,E05000428,St Leonard's,,,-1,-3,-1,-1,0
Lambeth,E05000429,Stockwell,,,-2,-3,-4,-3,-2
Lambeth,E05000430,Streatham Hill,,,-1,-1,-1,-1,-1
Lambeth,E05000431,Streatham South,,,-1,-2,-2,-2,0
Lambeth,E05000432,Streatham Wells,,,-2,-2,-3,-3,-1
Lambeth,E05000433,Thornton,,,-1,-1,-2,-1,1
Lambeth,E05000434,Thurlow Park,,,-1,-2,-3,-2,-1
Lambeth,E05000435,Tulse Hill,,,-6,-6,-7,-6,-6
Lambeth,E05000436,Vassall,,,-10,-10,-10,-9,-7
Lewisham,E05000437,Bellingham,,,-8,-9,-9,-7,-7
Lewisham,E05000438,Blackheath,,,1,2,1,0,0
Lewisham,E05000439,Brockley,,,-6,-5,-6,-6,-5
Lewisham,E05000440,Catford South,,,-2,-3,-2,-2,-2
Lewisham,E05000441,Crofton Park,,,0,-2,-2,-1,-2
Lewisham,E05000442,Downham,,,-10,-10,-9,-10,-6
Lewisham,E05000443,Evelyn,,,-8,-8,-8,-8,-8
Lewisham,E05000444,Forest Hill,,,-1,-4,-3,-3,-2
Lewisham,E05000445,Grove Park,,,-4,-6,-6,-4,-5
Lewisham,E05000446,Ladywell,,,1,0,-1,-1,-1
Lewisham,E05000447,Lee Green,,,-1,-1,0,0,0
Lewisham,E05000448,Lewisham Central,,,-6,-5,-4,-5,-6
Lewisham,E05000449,New Cross,,,-9,-9,-11,-10,-9
Lewisham,E05000450,Perry Vale,,,-3,-6,-6,-4,-4
Lewisham,E05000451,Rushey Green,,,-6,-7,-9,-6,-4
